,Vx_alpha,Vx_beta,Vx_gamma,Vy_alpha,Vy_beta,Vy_gamma,Vz_alpha,Vz_beta,Vz_gamma,stationarity,noise_type
0,-0.34197828,0.7989306,0.08786315,-0.80147076,-0.26949552,0.02184258,0.045346882,-0.071063936,0.740698,0,0
1,0.5633045,-0.24125828,0.009061176,0.3445795,0.5708725,0.06475246,-0.030004872,-0.041480854,0.511999,1,0
2,-0.4074958,0.80590296,0.08772065,-0.8145,-0.34972218,-0.001566195,0.0295268,-0.077912785,0.80727786,0,1
3,0.6556558,-0.22156416,0.017664583,0.29222077,0.68274504,0.04317178,-0.030769238,-0.02267339,0.59555364,1,1
4,-0.55627704,-0.067598104,0.034044612,0.074042074,-0.5670303,-0.047930118,0.042040844,-0.05642481,0.47598737,0,2
5,-0.38759193,-0.27969852,-0.017179497,0.2834261,-0.5786065,-0.041275386,0.002812805,-0.036173727,0.4853974,1,2
6,-0.28823924,0.80502737,0.096814305,-0.81727666,-0.19823636,0.0045419647,0.021548064,-0.0884616,0.7214904,0,0
7,0.6674605,-0.0646843,-0.033869527,-0.0041087,0.6580674,0.061596934,0.020781673,-0.05377486,0.52014035,1,0
8,-0.35958236,0.8269761,0.10090275,-0.8275019,-0.30219412,-0.0011716636,0.031218985,-0.094247416,0.80067384,0,1
9,0.73837894,0.014008583,-0.0022780788,-0.060830846,0.74818116,0.07322897,-0.010078014,-0.05747822,0.6131277,1,1
10,-0.5316706,-0.066151515,0.013166542,0.065229625,-0.56661177,-0.037921146,0.01809326,-0.034964807,0.4698952,0,2
11,-0.3817188,-0.28619906,-0.0026664322,0.28121924,-0.5621075,-0.06844409,0.025127375,-0.06373162,0.4783332,1,2
12,-0.36127725,0.78494656,0.09907196,-0.79064596,-0.28874868,0.013795991,0.044955514,-0.08597695,0.73154473,0,0
13,0.21076757,-0.4770026,-0.01861132,0.6090612,0.23967998,0.026765037,-0.013540133,-0.007587234,0.47287092,1,0
14,-0.42536747,0.800862,0.09630404,-0.798833,-0.36265856,-0.008609495,0.029225165,-0.088357896,0.8011873,0,1
15,0.33699313,-0.54254556,-0.023627711,0.64195573,0.3742444,0.06315226,-0.03637766,-0.044783782,0.5705985,1,1
16,-0.5977113,-0.2659279,0.020880586,0.2582317,-0.65176624,-0.08173632,0.054913998,-0.0624412,0.5980762,0,2
17,-0.4107765,-0.45266798,-0.02704266,0.45447072,-0.5933301,-0.045738176,0.00915519,-0.043878306,0.5911978,1,2
