Serial Number,Vx_alpha,Vx_beta,Vx_gamma,Vy_alpha,Vy_beta,Vy_gamma,Vz_alpha,Vz_beta,Vz_gamma
0,-0.58447134,0.5856671,0.36258072,-0.6701675,-0.5647571,-0.09795692,0.15696824,-0.33373338,0.7240559
1,-0.58890164,0.5993301,0.3340567,-0.671861,-0.5631897,-0.09798306,0.13699296,-0.31301162,0.7366923
2,-0.58067757,0.5700757,0.39070225,-0.67138577,-0.5593983,-0.11538713,0.16277501,-0.36613742,0.7077431
3,-0.58264446,0.57588816,0.37973335,-0.67190164,-0.55904025,-0.11507935,0.15561491,-0.3581604,0.71318567
4,-0.58899295,0.59810656,0.33585528,-0.6727348,-0.56082535,-0.10495931,0.13339072,-0.3193697,0.7347958
5,-0.58527166,0.58456945,0.3632679,-0.6721397,-0.5598059,-0.11132137,0.14689381,-0.34351167,0.72176206
6,-0.58645403,0.5884169,0.3554032,-0.6725622,-0.559502,-0.11112696,0.14226286,-0.33799964,0.7252095
7,-0.5874719,0.59254587,0.3479459,-0.6727439,-0.5599273,-0.10848397,0.13767944,-0.33023182,0.7293555
8,-0.5838928,0.58459425,0.36521125,-0.6702949,-0.5645449,-0.09823006,0.1583617,-0.33580866,0.72285336
9,-0.58615685,0.58858186,0.35568935,-0.6717554,-0.5614442,-0.106051885,0.1459082,-0.33440927,0.7260192
10,-0.58617616,0.58569545,0.3605023,-0.67326486,-0.55703783,-0.118044466,0.13903283,-0.34593937,0.7221061
11,-0.5839657,0.58145803,0.3696272,-0.67127836,-0.5614152,-0.10801771,0.15433702,-0.34596464,0.71918154
12,-0.5866684,0.5869722,0.35782355,-0.67349887,-0.55661637,-0.11893522,0.1365331,-0.34462017,0.7231925
13,-0.5864861,0.5873911,0.35769007,-0.673373,-0.5572652,-0.11666823,0.13762358,-0.3428296,0.7237458
14,-0.5886534,0.5919733,0.3472911,-0.6747072,-0.55408794,-0.12437862,0.12449756,-0.34053954,0.72713745
15,-0.5797322,0.5734954,0.38741356,-0.6690476,-0.5657797,-0.09755985,0.17374271,-0.35110083,0.7123405
16,-0.586414,0.5876327,0.35642818,-0.6715003,-0.5614028,-0.10765145,0.14589393,-0.33618885,0.72528905
17,-0.57653075,0.5560552,0.4147919,-0.671719,-0.5566038,-0.12421262,0.17254856,-0.3895997,0.6934395
